City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Sakakah,0,SA,1583127918,46.4,5.82,29.97,40.21,70
Matata,100,NZ,1583127918,70,5.23,-37.88,176.75,72
Lima,75,PE,1583127813,75.2,9.17,-12.04,-77.03,78
The Valley,20,AI,1583127918,75.99,3.36,18.22,-63.06,78
Humaitá,100,BR,1583127918,73.29,0.78,-7.51,-63.02,98
Davila,40,PH,1583127919,86,16.11,18.47,120.58,66
Tual,57,ID,1583127919,84.85,3.27,-5.67,132.75,71
Maţāy,0,EG,1583127919,54.82,8.1,28.42,30.78,64
Qaanaaq,0,GL,1583127919,-22.14,6.87,77.48,-69.36,51
Hambantota,20,LK,1583127920,86,5.82,6.12,81.12,70
Bluff,34,NZ,1583127920,71.98,5.08,-46.6,168.33,49
Ilulissat,94,GL,1583127920,-14.8,8.05,69.22,-51.1,46
Nūrmahal,0,IN,1583127921,77.04,4.25,31.1,75.6,38
Hobart,75,AU,1583127873,60.8,18.34,-42.88,147.33,38
Avarua,51,CK,1583127921,80.6,1.12,-21.21,-159.78,94
Katsuura,75,JP,1583127921,46.99,17.22,35.13,140.3,87
Hermanus,2,ZA,1583127922,71.01,4,-34.42,19.23,88
Dikson,100,RU,1583127922,12.85,22.48,73.51,80.55,91
Straumen,75,NO,1583127922,30,17.22,63.87,11.3,63
Coyhaique,0,CL,1583127922,55.4,4.7,-45.58,-72.07,76
Pacific Grove,1,US,1583127923,50,5.82,36.62,-121.92,81
Xichang,0,CN,1583127923,86,10.25,27.9,102.26,5
Río Gallegos,75,AR,1583127885,59,8.05,-51.62,-69.22,72
Kahului,40,US,1583127923,69.8,10.29,20.89,-156.47,77
Atambua,100,ID,1583127923,83.86,5.48,-9.11,124.89,73
Opuwo,0,NA,1583127924,63.18,4.21,-18.06,13.84,49
New Norfolk,75,AU,1583127924,60.8,18.34,-42.78,147.06,38
Tiksi,68,RU,1583127924,1,15.12,71.69,128.87,83
Kapaa,40,US,1583127924,75.2,23.04,22.08,-159.32,73
Atuona,7,PF,1583127924,82.15,18.14,-9.8,-139.03,77
Ponta do Sol,20,PT,1583127925,62.6,8.05,32.67,-17.1,77
Kavaratti,54,IN,1583127925,82.36,2.13,10.57,72.64,69
Ushuaia,4,AR,1583127925,50,6.93,-54.8,-68.3,61
Esperance,90,AU,1583127925,68,13.87,-33.87,121.9,60
Geraldton,100,AU,1583127926,95,24.16,-28.77,114.6,32
Lebu,35,CL,1583127926,51.73,1.3,-37.62,-73.65,99
Vaini,20,TO,1583127926,82.4,9.17,-21.2,-175.2,78
Boffa,0,GN,1583127926,71.82,4.32,10.17,-14.03,90
Upernavik,5,GL,1583127927,-28.91,3.11,72.79,-56.15,87
Malinovskiy,0,RU,1583127927,22.23,10.51,61.2,62.84,88
Rikitea,100,PF,1583127927,80.55,13.87,-23.12,-134.97,81
Albany,90,US,1583127805,30.99,6.93,42.6,-73.97,54
Genç,20,TR,1583127928,37.4,4.7,38.75,40.56,64
Busselton,86,AU,1583127928,82,11.88,-33.65,115.33,20
Nuuk,0,GL,1583127731,1.4,21.92,64.18,-51.72,64
Grand Baie,90,MU,1583127978,79,2.24,-20.02,57.58,94
Nome,1,US,1583127908,1.4,6.93,64.5,-165.41,54
São Filipe,88,CV,1583127978,71.94,22.37,14.9,-24.5,62
Xalpatlahuac,0,MX,1583127978,61.39,4.85,17.47,-98.62,84
Mataura,33,NZ,1583127979,69.35,1.36,-46.19,168.86,69
Mar del Plata,0,AR,1583127921,72,11.41,-38,-57.56,88
Pevek,100,RU,1583127979,-1.62,8.84,69.7,170.31,97
Dingle,64,PH,1583127979,84.09,13.47,11,122.67,61
Port Alfred,78,ZA,1583127980,66.99,3.83,-33.59,26.89,92
Torbay,90,CA,1583127980,30,23.04,47.67,-52.73,92
Punta Arenas,20,CL,1583127697,50,8.05,-53.15,-70.92,66
Cherskiy,99,RU,1583127980,-1.98,8.34,68.75,161.3,92
Arraial do Cabo,100,BR,1583127742,72.32,3.76,-22.97,-42.03,85
Port Lincoln,40,AU,1583127981,63.57,18.84,-34.73,135.87,57
Genhe,100,CN,1583127981,19.35,2.01,50.78,121.52,79
Namatanai,7,PG,1583127981,85.6,5.32,-3.67,152.43,70
Naze,75,JP,1583127981,69.8,18.34,28.37,129.48,72
Vila Velha,75,BR,1583127981,73.4,3.36,-20.33,-40.29,100
Iqaluit,5,CA,1583127982,-29,2.06,63.75,-68.51,73
Saint Paul Harbor,1,US,1583127982,35.6,13.87,57.79,-152.41,59
Uturoa,100,PF,1583127982,82.94,21.27,-16.73,-151.43,77
Walvis Bay,1,NA,1583127982,66.2,2.24,-22.96,14.51,93
Airai,97,TL,1583127982,74.75,3.53,-8.93,125.41,88
Barrow,1,US,1583127983,-29.2,8.05,71.29,-156.79,99
Fairbanks,90,US,1583127826,7,5.3,64.84,-147.72,77
Khatanga,100,RU,1583127983,20.82,13.89,71.97,102.5,83
Husavik,75,IS,1583127983,32,16.11,66.04,-17.34,75
Port Elizabeth,95,ZA,1583127854,66.2,11.41,-33.92,25.57,88
Halifax,90,CA,1583127931,28,9.17,44.65,-63.57,100
Devils Lake,1,US,1583127984,17.6,10.29,48.11,-98.87,100
Klaksvík,100,FO,1583127985,35.6,21.92,62.23,-6.59,64
Mahébourg,90,MU,1583127985,79,2.24,-20.41,57.7,94
Bredasdorp,35,ZA,1583127985,71.01,8.48,-34.53,20.04,88
Ketchikan,90,US,1583127985,42.8,13.87,55.34,-131.65,60
Hamilton,90,US,1583127928,59,19.46,39.18,-84.53,38
Yellowknife,90,CA,1583127971,-4,13.87,62.46,-114.35,76
Mpika,99,ZM,1583127986,62.01,6.67,-11.83,31.45,96
Gigmoto,51,PH,1583127986,79.77,11.61,13.78,124.39,74
Durusu,76,TR,1583127986,46.99,13.87,41.31,28.68,87
Carnarvon,0,AU,1583127987,91.4,12.75,-24.87,113.63,55
Vao,100,NC,1583127987,79.25,12.12,-22.67,167.48,75
Tomé,90,CL,1583127987,57.2,3.36,-36.62,-72.95,93
Iracoubo,85,GF,1583127987,79.21,13.13,5.48,-53.2,78
Bethel,90,US,1583127988,33.01,3.98,41.37,-73.41,68
Roald,40,NO,1583128038,33.8,14.99,62.58,6.13,80
Castro,69,BR,1583128038,57.63,9.37,-24.79,-50.01,92
Muroto-misakicho,40,JP,1583128038,66.2,13.87,33.28,134.15,45
Butaritari,100,KI,1583128038,83.55,21.07,3.07,172.79,77
Ostrovnoy,100,RU,1583128038,17.91,7.43,68.05,39.51,85
San Patricio,17,MX,1583128039,75.47,9.08,19.22,-104.7,73
Chute-aux-Outardes,1,CA,1583127855,14,2.24,49.12,-68.4,91
Jumla,6,NP,1583128039,46.99,4.76,29.27,82.18,91
Vágur,100,FO,1583128039,37.69,41.03,61.47,-6.81,79
Chui,4,UY,1583128039,67.39,9.13,-33.7,-53.46,89
Bambanglipuro,7,ID,1583128040,87.62,6.71,-7.95,110.28,65
Honiara,20,SB,1583128040,89.6,8.05,-9.43,159.95,70
Bethanien,2,NA,1583128041,69.13,4.47,-26.5,17.16,70
San Miguel,50,SV,1583128041,80.6,3.36,13.48,-88.18,78
Sovetskiy,0,RU,1583128042,22.3,10.8,61.36,63.58,83
Batagay-Alyta,0,RU,1583128042,2.8,5.26,67.8,130.41,68
Puerto Ayora,0,EC,1583128042,81,8.99,-0.74,-90.35,100
Krasnoarmeyskiy,0,RU,1583128042,39.25,13.78,47.01,42.21,64
Portland,90,US,1583127501,44.6,5.82,45.52,-122.68,70
Talnakh,75,RU,1583128043,23,26.84,69.49,88.4,92
Ribeira Grande,82,PT,1583128043,60.48,16.37,38.52,-28.7,90
Hithadhoo,66,MV,1583128043,83.44,8.14,-0.6,73.08,74
Mersing,40,MY,1583128043,87.8,9.17,2.43,103.84,70
Bengkulu,0,ID,1583128031,91.92,5.03,-3.8,102.27,48
Lavumisa,89,SZ,1583128044,68,1.12,-27.31,31.89,82
Nuevo Progreso,43,MX,1583128044,69.01,2.86,23.17,-97.95,92
Vardø,75,NO,1583128044,21.2,9.17,70.37,31.11,92
Polis,75,CY,1583128044,50,5.82,35.04,32.43,87
Fort Abbas,0,PK,1583128045,75.11,1.92,29.19,72.85,39
San Cristobal,40,VE,1583128045,80.6,4.7,7.77,-72.22,69
Olinda,40,BR,1583128045,80.6,3.36,-8.01,-34.86,78
Hong Kong,40,HK,1583127860,73.4,19.46,22.29,114.16,77
Druzhba,86,UA,1583128046,35.51,17.36,52.04,33.95,80
Jamestown,75,US,1583127851,44.6,16.11,42.1,-79.24,44
Zaysan,0,KZ,1583128046,23.72,2.17,47.47,84.87,86
Havelock,1,US,1583128047,41,4.12,34.88,-76.9,80
Smithers,1,CA,1583127900,44.6,6.93,54.78,-127.17,42
Umeå,90,SE,1583128047,17.6,10.29,63.83,20.26,85
Sambava,92,MG,1583128048,85.6,1.16,-14.27,50.17,60
Clarence Town,26,AU,1583128048,100,14.99,-32.58,151.78,17
Noril'sk,75,RU,1583128048,23,26.84,69.35,88.2,92
Dutlwe,100,BW,1583128048,66.61,5.32,-23.98,23.9,75
Cape Town,75,ZA,1583128048,64,5.82,-33.93,18.42,100
Bitung,75,ID,1583128049,77,3.36,1.45,125.18,100
Soyo,75,AO,1583128049,78.8,3.42,-6.13,12.37,83
Yamoussoukro,20,CI,1583128049,78.8,6.93,6.82,-5.28,88
Mbanza-Ngungu,98,CD,1583128098,70.45,0.76,-5.25,14.87,97
Makkah al Mukarramah,0,SA,1583127963,78.1,7.45,21.43,39.83,17
Kiunga,84,PG,1583128098,91.22,2.35,-6.12,141.29,58
Clyde River,1,CA,1583128099,-31,4.7,70.47,-68.59,73
Kolda,0,SN,1583128099,70.48,2.77,12.88,-14.95,19
Hilo,1,US,1583128099,69.01,14.94,19.73,-155.09,82
Saint-Philippe,100,RE,1583128099,84.2,8.05,-21.36,55.77,79
Comodoro Rivadavia,0,AR,1583128099,62.6,3.36,-45.87,-67.5,67
Carahue,90,CL,1583128100,53.6,0.76,-38.7,-73.17,100
East London,41,ZA,1583127983,71.6,4.7,-33.02,27.91,83
Laguna,1,US,1583128100,55.99,11.41,38.42,-121.42,25
Praia,94,CV,1583128101,73.4,18.34,14.92,-23.51,56
Nelson,100,NZ,1583128101,70,1.99,-41.28,173.28,72
Mudgee,100,AU,1583127823,90,11.41,-32.59,149.59,29
Bridlington,0,GB,1583128101,34,6.93,54.08,-0.19,82
Sur,0,OM,1583128101,77.86,7.74,22.57,59.53,40
Vavuniya,88,LK,1583128102,91.33,4.12,8.75,80.5,34
Iskateley,60,RU,1583128102,19,13.31,67.68,53.15,93
Willowmore,65,ZA,1583128102,64.54,3.65,-33.29,23.49,58
Omboué,96,GA,1583128102,75.76,3.44,-1.57,9.26,97
Monte Santo,30,BR,1583128102,68.47,3.58,-10.44,-39.33,86
Narsaq,0,GL,1583128103,3.2,2.24,60.92,-46.05,54
Teterow,75,DE,1583128103,39.99,1.12,53.78,12.57,93
Aksu,89,CN,1583128103,50.52,1.95,41.12,80.26,25
Cidreira,9,BR,1583128103,72.99,21.34,-30.18,-50.21,78
Conde,75,BR,1583128104,77,6.93,-7.26,-34.91,100
Ginda,0,IN,1583128104,62.85,5.12,30.69,78.49,37
Westport,1,US,1583127922,37,5.82,41.14,-73.36,58
Sobolevo,100,RU,1583128104,36.23,12.12,54.43,31.9,95
Atar,26,MR,1583128104,65.01,9.4,20.52,-13.05,17
Bardsīr,20,IR,1583128105,60.8,6.93,29.92,56.57,26
Mitsamiouli,20,KM,1583128105,82.4,3.36,-11.38,43.28,83
Lucapa,98,AO,1583128105,68.43,2.3,-8.42,20.74,90
Kandrian,97,PG,1583128105,80.71,2.73,-6.22,149.55,90
Dicabisagan,8,PH,1583128106,79.47,7.09,17.08,122.42,65
College,90,US,1583128106,8.01,5.1,64.86,-147.8,77
Tyul'gan,59,RU,1583128106,21.6,2.51,52.34,56.17,90
Kavieng,51,PG,1583128106,85.96,1.39,-2.57,150.8,64
Finnsnes,75,NO,1583128106,24.8,12.75,69.23,17.98,84
